age;job;marital;education;default;housing;loan;duration;campaign;pdays;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
42;blue-collar;married;basic.6y;unknown;yes;no;164;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.6y;unknown;no;no;366;1;999;0;1.1;93.994;-36.4;4.857;5191;0
48;admin.;married;high.school;no;no;no;357;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;admin.;married;university.degree;no;no;no;232;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;blue-collar;single;basic.9y;no;yes;no;91;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;admin.;married;unknown;no;yes;no;273;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;admin.;married;basic.9y;no;yes;no;158;2;999;0;1.1;93.994;-36.4;4.857;5191;0
44;blue-collar;single;basic.4y;unknown;yes;yes;177;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;management;married;basic.6y;no;no;no;200;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;management;divorced;university.degree;no;yes;no;172;1;999;0;1.1;93.994;-36.4;4.857;5191;0
47;admin.;married;university.degree;unknown;yes;no;176;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;unknown;married;unknown;unknown;no;no;211;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;admin.;married;university.degree;unknown;yes;no;214;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;blue-collar;divorced;basic.4y;unknown;yes;no;1575;1;999;0;1.1;93.994;-36.4;4.857;5191;1
55;technician;married;university.degree;no;no;no;349;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;services;married;high.school;unknown;yes;no;337;2;999;0;1.1;93.994;-36.4;4.857;5191;0
55;management;married;unknown;unknown;yes;no;272;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.9y;unknown;no;no;208;1;999;0;1.1;93.994;-36.4;4.857;5191;0
50;blue-collar;married;basic.4y;unknown;yes;no;193;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;blue-collar;married;basic.4y;unknown;unknown;unknown;212;1;999;0;1.1;93.994;-36.4;4.857;5191;0
38;admin.;married;high.school;unknown;no;no;165;2;999;0;1.1;93.994;-36.4;4.857;5191;0
49;entrepreneur;married;university.degree;unknown;yes;no;1042;1;999;0;1.1;93.994;-36.4;4.857;5191;1
38;technician;single;university.degree;no;no;yes;20;1;999;0;1.1;93.994;-36.4;4.857;5191;0
31;admin.;divorced;high.school;no;no;no;246;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;management;married;basic.6y;no;no;no;529;2;999;0;1.1;93.994;-36.4;4.857;5191;0
39;admin.;married;university.degree;no;yes;yes;192;1;999;0;1.1;93.994;-36.4;4.857;5191;0
49;technician;married;basic.9y;no;no;no;1467;1;999;0;1.1;93.994;-36.4;4.857;5191;1
34;admin.;married;high.school;no;yes;no;188;2;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;married;university.degree;no;yes;no;180;2;999;0;1.1;93.994;-36.4;4.857;5191;0
57;unknown;married;unknown;unknown;yes;no;48;1;999;0;1.1;93.994;-36.4;4.857;5191;0
60;admin.;married;unknown;unknown;no;yes;213;2;999;0;1.1;93.994;-36.4;4.857;5191;0
33;unemployed;married;basic.9y;no;no;no;545;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.6y;no;no;yes;583;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;services;married;professional.course;no;yes;no;221;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;management;married;university.degree;no;no;no;426;1;999;0;1.1;93.994;-36.4;4.857;5191;0
53;admin.;divorced;university.degree;unknown;no;no;287;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;technician;single;professional.course;no;no;no;197;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;blue-collar;married;basic.6y;no;no;no;257;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;services;married;unknown;no;yes;no;229;1;999;0;1.1;93.994;-36.4;4.857;5191;0
49;blue-collar;married;basic.4y;no;no;no;55;3;999;0;1.1;93.994;-36.4;4.857;5191;0
54;services;married;unknown;no;no;no;400;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;admin.;divorced;university.degree;no;no;no;197;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;admin.;divorced;university.degree;no;no;no;190;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;services;single;high.school;unknown;no;no;21;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;housemaid;married;basic.6y;no;yes;no;300;2;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;married;high.school;no;yes;no;123;2;999;0;1.1;93.994;-36.4;4.857;5191;0
42;entrepreneur;married;unknown;unknown;yes;no;293;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;technician;married;unknown;unknown;yes;yes;325;1;999;0;1.1;93.994;-36.4;4.857;5191;0
60;retired;divorced;university.degree;unknown;no;no;514;1;999;0;1.1;93.994;-36.4;4.857;5191;0
58;unemployed;married;basic.4y;unknown;no;no;849;2;999;0;1.1;93.994;-36.4;4.857;5191;0
35;services;divorced;high.school;no;yes;no;194;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;blue-collar;married;basic.9y;unknown;yes;no;212;2;999;0;1.1;93.994;-36.4;4.857;5191;0
37;management;married;university.degree;no;no;no;337;2;999;0;1.1;93.994;-36.4;4.857;5191;0
36;blue-collar;married;high.school;no;no;no;286;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;admin.;divorced;university.degree;no;no;no;247;2;999;0;1.1;93.994;-36.4;4.857;5191;0
57;blue-collar;divorced;unknown;unknown;yes;no;518;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;admin.;married;unknown;no;yes;no;364;1;999;0;1.1;93.994;-36.4;4.857;5191;0
48;blue-collar;divorced;basic.4y;unknown;yes;no;178;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;blue-collar;married;high.school;unknown;yes;no;98;1;999;0;1.1;93.994;-36.4;4.857;5191;0
49;blue-collar;divorced;high.school;no;no;no;439;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;services;married;high.school;no;no;no;139;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;technician;married;high.school;no;yes;no;79;1;999;0;1.1;93.994;-36.4;4.857;5191;0
32;admin.;married;university.degree;no;yes;yes;175;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;admin.;married;university.degree;no;no;yes;262;2;999;0;1.1;93.994;-36.4;4.857;5191;0
50;admin.;married;basic.6y;no;no;no;61;1;999;0;1.1;93.994;-36.4;4.857;5191;0
31;technician;divorced;professional.course;no;yes;yes;78;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;retired;married;basic.4y;no;yes;no;102;2;999;0;1.1;93.994;-36.4;4.857;5191;0
41;technician;married;professional.course;unknown;yes;no;579;1;999;0;1.1;93.994;-36.4;4.857;5191;1
37;blue-collar;married;basic.6y;no;yes;yes;143;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;technician;married;professional.course;unknown;no;no;677;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;blue-collar;married;unknown;no;yes;no;267;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;blue-collar;married;basic.6y;no;yes;no;345;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;management;married;university.degree;no;no;no;185;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;management;divorced;university.degree;no;no;no;207;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;housemaid;married;basic.4y;unknown;no;no;69;2;999;0;1.1;93.994;-36.4;4.857;5191;0
56;blue-collar;married;basic.4y;unknown;no;no;100;2;999;0;1.1;93.994;-36.4;4.857;5191;0
34;services;married;high.school;no;yes;no;125;2;999;0;1.1;93.994;-36.4;4.857;5191;0
45;blue-collar;married;basic.9y;unknown;yes;no;461;1;999;0;1.1;93.994;-36.4;4.857;5191;1
43;unemployed;single;university.degree;no;yes;no;240;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;management;married;unknown;no;yes;no;70;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;management;married;university.degree;no;yes;no;193;1;999;0;1.1;93.994;-36.4;4.857;5191;0
53;blue-collar;married;basic.4y;no;yes;no;136;1;999;0;1.1;93.994;-36.4;4.857;5191;0
38;unknown;divorced;high.school;unknown;yes;no;73;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.4y;unknown;yes;no;528;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.4y;unknown;no;no;541;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;single;high.school;no;yes;no;338;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;admin.;married;university.degree;unknown;yes;no;163;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;blue-collar;married;basic.4y;no;yes;no;87;1;999;0;1.1;93.994;-36.4;4.857;5191;0
60;blue-collar;married;basic.9y;unknown;no;no;301;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;entrepreneur;married;unknown;unknown;yes;no;46;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;services;divorced;high.school;unknown;yes;no;52;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;entrepreneur;married;unknown;unknown;no;no;204;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;blue-collar;married;unknown;no;yes;yes;155;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;blue-collar;married;basic.9y;no;yes;yes;98;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;blue-collar;married;unknown;unknown;yes;no;71;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;blue-collar;married;unknown;unknown;no;no;243;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;technician;single;professional.course;no;yes;no;186;2;999;0;1.1;93.994;-36.4;4.857;5191;0
59;services;married;high.school;no;no;no;579;2;999;0;1.1;93.994;-36.4;4.857;5191;0
24;management;single;university.degree;no;yes;no;165;2;999;0;1.1;93.994;-36.4;4.857;5191;0
37;blue-collar;single;basic.9y;unknown;yes;yes;163;2;999;0;1.1;93.994;-36.4;4.857;5191;0
40;blue-collar;married;basic.9y;unknown;no;no;46;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.9y;unknown;no;no;559;3;999;0;1.1;93.994;-36.4;4.857;5191;0
39;services;divorced;high.school;unknown;no;no;2033;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;entrepreneur;married;basic.6y;no;no;no;85;1;999;0;1.1;93.994;-36.4;4.857;5191;0
38;services;married;high.school;no;yes;yes;506;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;admin.;divorced;unknown;unknown;no;no;114;2;999;0;1.1;93.994;-36.4;4.857;5191;0
40;blue-collar;married;unknown;no;no;no;114;2;999;0;1.1;93.994;-36.4;4.857;5191;0
54;management;divorced;university.degree;no;yes;no;843;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;blue-collar;married;high.school;unknown;no;yes;181;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;services;married;high.school;unknown;no;no;427;1;999;0;1.1;93.994;-36.4;4.857;5191;0
45;technician;married;university.degree;no;yes;yes;292;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;admin.;single;university.degree;unknown;no;no;192;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;services;married;high.school;no;no;no;93;3;999;0;1.1;93.994;-36.4;4.857;5191;0
46;management;married;basic.9y;no;no;no;128;2;999;0;1.1;93.994;-36.4;4.857;5191;0
44;services;married;high.school;no;yes;yes;107;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;admin.;single;basic.6y;no;no;no;303;2;999;0;1.1;93.994;-36.4;4.857;5191;0
28;services;married;high.school;no;yes;no;81;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;blue-collar;married;basic.9y;no;no;no;270;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;technician;married;high.school;no;no;no;228;1;999;0;1.1;93.994;-36.4;4.857;5191;0
46;blue-collar;married;basic.6y;unknown;yes;no;240;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;blue-collar;married;basic.9y;no;yes;yes;673;2;999;0;1.1;93.994;-36.4;4.857;5191;1
36;admin.;married;university.degree;no;yes;no;233;3;999;0;1.1;93.994;-36.4;4.857;5191;0
54;blue-collar;married;basic.4y;unknown;no;no;102;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;management;married;university.degree;no;no;no;461;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;technician;married;basic.6y;unknown;no;no;250;1;999;0;1.1;93.994;-36.4;4.857;5191;0
54;retired;married;high.school;unknown;no;no;130;1;999;0;1.1;93.994;-36.4;4.857;5191;0
49;blue-collar;married;basic.4y;unknown;no;no;252;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;admin.;married;university.degree;no;yes;no;138;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;technician;married;professional.course;no;no;no;412;1;999;0;1.1;93.994;-36.4;4.857;5191;0
38;blue-collar;single;basic.9y;no;yes;no;179;2;999;0;1.1;93.994;-36.4;4.857;5191;0
45;management;divorced;university.degree;no;no;no;19;2;999;0;1.1;93.994;-36.4;4.857;5191;0
42;technician;married;university.degree;no;no;no;228;2;999;0;1.1;93.994;-36.4;4.857;5191;0
34;blue-collar;single;basic.9y;unknown;yes;no;55;1;999;0;1.1;93.994;-36.4;4.857;5191;0
48;blue-collar;married;basic.4y;no;yes;no;717;1;999;0;1.1;93.994;-36.4;4.857;5191;0
37;admin.;married;high.school;unknown;yes;no;313;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;blue-collar;single;basic.9y;unknown;no;no;289;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;admin.;married;basic.9y;unknown;yes;no;683;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;blue-collar;married;basic.6y;no;yes;no;1077;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;services;married;high.school;no;no;no;146;2;999;0;1.1;93.994;-36.4;4.857;5191;0
32;services;single;basic.6y;no;no;no;167;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;blue-collar;married;high.school;no;yes;no;356;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;admin.;married;unknown;no;no;no;277;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;blue-collar;married;basic.9y;no;yes;no;172;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;student;single;university.degree;unknown;no;no;218;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;student;single;university.degree;unknown;yes;yes;217;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;unemployed;married;professional.course;no;no;no;67;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;services;single;basic.4y;no;no;no;291;1;999;0;1.1;93.994;-36.4;4.857;5191;0
35;student;single;university.degree;unknown;yes;no;248;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;student;single;basic.9y;no;yes;no;256;1;999;0;1.1;93.994;-36.4;4.857;5191;0
55;housemaid;divorced;university.degree;no;no;no;286;1;999;0;1.1;93.994;-36.4;4.857;5191;0
59;admin.;married;university.degree;no;no;no;477;1;999;0;1.1;93.994;-36.4;4.857;5191;0
57;retired;married;unknown;unknown;no;no;611;2;999;0;1.1;93.994;-36.4;4.857;5191;0
39;blue-collar;married;professional.course;unknown;yes;no;471;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;housemaid;married;basic.4y;unknown;yes;no;381;2;999;0;1.1;93.994;-36.4;4.857;5191;0
30;blue-collar;single;unknown;no;yes;no;251;1;999;0;1.1;93.994;-36.4;4.857;5191;0
30;blue-collar;single;unknown;no;yes;yes;408;1;999;0;1.1;93.994;-36.4;4.857;5191;0
50;housemaid;married;basic.4y;unknown;no;no;287;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;services;married;high.school;no;no;no;322;3;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;married;high.school;no;yes;no;216;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;technician;married;unknown;unknown;no;no;366;2;999;0;1.1;93.994;-36.4;4.857;5191;0
36;services;single;basic.6y;unknown;yes;no;210;1;999;0;1.1;93.994;-36.4;4.857;5191;0
46;technician;married;basic.4y;unknown;yes;no;288;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;technician;married;basic.9y;no;no;no;168;1;999;0;1.1;93.994;-36.4;4.857;5191;0
58;retired;married;university.degree;no;no;no;132;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;technician;married;university.degree;no;no;no;64;2;999;0;1.1;93.994;-36.4;4.857;5191;0
35;admin.;single;university.degree;no;no;no;209;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;retired;married;basic.4y;unknown;no;no;410;3;999;0;1.1;93.994;-36.4;4.857;5191;0
45;blue-collar;married;basic.4y;no;yes;yes;177;1;999;0;1.1;93.994;-36.4;4.857;5191;0
39;admin.;married;professional.course;no;yes;no;580;2;999;0;1.1;93.994;-36.4;4.857;5191;0
50;services;divorced;professional.course;no;yes;no;165;1;999;0;1.1;93.994;-36.4;4.857;5191;0
32;management;divorced;basic.4y;unknown;yes;no;127;2;999;0;1.1;93.994;-36.4;4.857;5191;0
39;admin.;married;high.school;unknown;no;no;357;1;999;0;1.1;93.994;-36.4;4.857;5191;0
52;self-employed;married;university.degree;unknown;no;no;175;1;999;0;1.1;93.994;-36.4;4.857;5191;0
44;admin.;married;professional.course;no;yes;no;300;1;999;0;1.1;93.994;-36.4;4.857;5191;0
56;blue-collar;married;basic.4y;no;no;no;136;1;999;0;1.1;93.994;-36.4;4.857;5191;0
48;admin.;married;high.school;no;no;no;125;2;999;0;1.1;93.994;-36.4;4.857;5191;0
33;services;married;high.school;unknown;no;yes;189;2;999;0;1.1;93.994;-36.4;4.857;5191;0
43;management;married;university.degree;unknown;no;yes;213;3;999;0;1.1;93.994;-36.4;4.857;5191;0
57;retired;married;high.school;no;no;no;238;2;999;0;1.1;93.994;-36.4;4.857;5191;0
36;technician;single;professional.course;no;no;no;124;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;management;married;university.degree;no;yes;no;18;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;services;single;basic.9y;no;no;no;730;2;999;0;1.1;93.994;-36.4;4.857;5191;0
30;technician;married;university.degree;unknown;no;no;40;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;services;divorced;unknown;no;no;no;181;2;999;0;1.1;93.994;-36.4;4.857;5191;0
32;technician;single;professional.course;no;no;no;79;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;technician;single;high.school;no;yes;no;142;2;999;0;1.1;93.994;-36.4;4.857;5191;0
36;blue-collar;single;high.school;no;no;yes;389;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;services;single;high.school;no;no;no;702;1;999;0;1.1;93.994;-36.4;4.857;5191;0
40;technician;divorced;professional.course;no;no;no;151;1;999;0;1.1;93.994;-36.4;4.857;5191;0
41;blue-collar;married;basic.4y;no;yes;no;211;1;999;0;1.1;93.994;-36.4;4.857;5191;0
51;services;married;basic.6y;no;yes;no;117;1;999;0;1.1;93.994;-36.4;4.857;5191;0
36;technician;married;professional.course;no;yes;no;232;3;999;0;1.1;93.994;-36.4;4.857;5191;0
28;services;married;unknown;no;no;no;408;2;999;0;1.1;93.994;-36.4;4.857;5191;0
53;services;married;high.school;no;yes;yes;370;3;999;0;1.1;93.994;-36.4;4.857;5191;0
58;blue-collar;married;basic.9y;unknown;yes;no;179;2;999;0;1.1;93.994;-36.4;4.857;5191;0
45;management;married;basic.9y;no;no;yes;46;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;technician;married;unknown;no;yes;no;200;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;admin.;married;high.school;no;no;yes;50;1;999;0;1.1;93.994;-36.4;4.857;5191;0
33;admin.;married;high.school;no;no;yes;181;1;999;0;1.1;93.994;-36.4;4.857;5191;0
27;blue-collar;single;basic.6y;no;unknown;unknown;119;1;999;0;1.1;93.994;-36.4;4.857;5191;0
42;technician;married;high.school;no;no;no;361;1;999;0;1.1;93.994;-36.4;4.857;5191;0
43;admin.;divorced;basic.9y;no;no;no;73;3;999;0;1.1;93.994;-36.4;4.857;5191;0
42;admin.;married;university.degree;no;no;no;67;2;999;0;1.1;93.994;-36.4;4.857;5191;0
27;blue-collar;single;basic.6y;no;no;no;350;1;999;0;1.1;93.994;-36.4;4.857;5191;0
34;self-employed;single;university.degree;no;yes;no;150;2;999;0;1.1;93.994;-36.4;4.857;5191;0
31;student;single;university.degree;unknown;no;no;332;2;999;0;1.1;93.994;-36.4;4.857;5191;0
54;management;divorced;university.degree;no;no;no;611;2;999;0;1.1;93.994;-36.4;4.857;5191;0
40;self-employed;married;basic.4y;unknown;no;no;58;3;999;0;1.1;93.994;-36.4;4.857;5191;0
52;unemployed;married;high.school;unknown;yes;no;151;1;999;0;1.1;93.994;-36.4;4.857;5191;0
47;management;divorced;university.degree;no;no;no;89;2;999;0;1.1;93.994;-36.4;4.857;5191;0
49;housemaid;married;basic.9y;unknown;no;no;152;1;999;0;1.1;93.994;-36.4;4.857;5191;0
